Date,Total_Tea_Leaves,Rainfall,Holiday
2/1/2019,"17,279",0,0
2/2/2019,"21,965",0,0
2/3/2019,"27,204",0,0
2/4/2019,0,0,1
2/5/2019,"49,832",10.1,0
2/6/2019,"52,609",14.5,0
2/7/2019,"53,028",0,0
2/8/2019,"58,579",2.7,0
2/9/2019,"61,571",110,0
2/10/2019,"68,378",34.5,0
2/11/2019,"54,736",0,0
2/12/2019,"61,442",0,0
2/13/2019,"49,221",0,0
2/14/2019,"42,868",2,0
2/15/2019,"45,308",18.2,0
2/16/2019,"42,029",71,0
2/17/2019,"49,002",0,0
2/18/2019,"47,578",0,0
2/19/2019,"39,644",0,1
2/20/2019,"51,507",0,0
2/21/2019,"48,273",0,0
2/22/2019,"50,832",0,0
2/23/2019,"46,002",0,0
2/24/2019,"50,463",0,0
2/25/2019,"51,967",0,0
2/26/2019,"66,475",54,0
2/27/2019,"71,213",5.1,0
2/28/2019,"74,581",0,0
3/1/2019,"28,446",0,0
3/2/2019,"28,580",0,0
3/3/2019,"36,898",13,0
3/4/2019,"43,167",2.1,1
3/5/2019,"49,562",11.5,0
3/6/2019,"56,842",0,0
3/7/2019,"64,067",6.8,0
3/8/2019,"62,621",0,0
3/9/2019,"61,859",13,0
3/10/2019,"64,082",0,0
3/11/2019,"50,970",0,0
3/12/2019,"56,937",0,0
3/13/2019,"52,224",0,0
3/14/2019,"43,414",0,0
3/15/2019,"45,359",0,0
3/16/2019,"45,672",33.7,0
3/17/2019,"51,104",0,0
3/18/2019,"48,130",0,0
3/19/2019,"58,928",0,0
3/20/2019,"43,734",0,1
3/21/2019,"51,799",0,0
3/22/2019,"47,328",3.8,0
3/23/2019,"45,658",16.2,0
3/24/2019,"47,607",0,0
3/25/2019,"46,679",0,0
3/26/2019,"55,043",0,0
3/27/2019,"55,602",0,0
3/28/2019,"56,409",0,0
3/29/2019,"58,993",0,0
3/30/2019,"60,403",4.6,0
3/31/2019,"61,385",0,0
4/1/2019,"16,209",0,0
4/2/2019,"22,520",0,0
4/3/2019,"32,145",0,0
4/4/2019,"43,656",0,0
4/5/2019,"60,202",0,0
4/6/2019,"67,532",0,0
4/7/2019,"86,907",0,0
4/8/2019,"75,130",1.6,0
4/9/2019,"58,991",30.8,0
4/10/2019,461,0,0
4/11/2019,0,7.3,0
4/12/2019,0,0,0
4/13/2019,0,18.3,1
4/14/2019,0,0,1
4/15/2019,0,8.5,0
4/16/2019,0,6.8,0
4/17/2019,"32,868",56.1,0
4/18/2019,"66,460",0,0
4/19/2019,"73,179",0,1
4/20/2019,"89,143",0,0
4/21/2019,"80,690",28,0
4/22/2019,252,16.9,0
4/23/2019,"96,398",48.3,0
4/24/2019,"64,032",17.5,0
4/25/2019,"48,323",16.2,0
4/26/2019,"41,218",0,0
4/27/2019,"35,565",0,0
4/28/2019,"43,220",0,0
4/29/2019,"53,299",23.5,0
4/30/2019,"71,379",36.1,0
5/1/2019,"25,255",0,1
5/2/2019,"34,555",18.1,0
5/3/2019,"38,714",17.5,0
5/4/2019,"50,975",0,0
5/5/2019,"56,419",0,0
5/6/2019,"50,410",0,0
5/7/2019,"64,924",0,0
5/8/2019,"69,836",0,0
5/9/2019,"73,043",0,0
5/10/2019,"77,163",0,0
5/11/2019,"60,811",0,0
5/12/2019,"60,532",9.4,0
5/13/2019,"52,720",22.5,0
5/14/2019,"54,909",17,0
5/15/2019,"67,638",0,0
5/16/2019,"85,718",0,0
5/17/2019,"2,832",0,0
5/18/2019,0,0,1
5/19/2019,"86,512",0,1
5/20/2019,"108,529",0,0
5/21/2019,"85,903",35.5,0
5/22/2019,"38,435",8.5,0
5/23/2019,"58,746",1,0
5/24/2019,"69,647",2.7,0
5/25/2019,"49,199",6.7,0
5/26/2019,"50,936",1.1,0
5/27/2019,"31,551",0,0
5/28/2019,"35,528",0,0
5/29/2019,"38,107",0,0
5/30/2019,"40,541",11.4,0
5/31/2019,"37,640",25,0
6/1/2019,"18,120",0,0
6/2/2019,"25,488",10.6,0
6/3/2019,"27,534",18.5,0
6/4/2019,"25,244",37.2,0
6/5/2019,"37,181",13.1,1
6/6/2019,"32,853",59.7,0
6/7/2019,"33,600",40,0
6/8/2019,"44,012",5.6,0
6/9/2019,"49,683",67.2,0
6/10/2019,"39,674",18.1,0
6/11/2019,"42,460",16.5,0
6/12/2019,"33,312",9.7,0
6/13/2019,"36,819",2.5,0
6/14/2019,"36,140",73.9,0
6/15/2019,832,0,0
6/16/2019,0,4.3,1
6/17/2019,"53,857",6.4,0
6/18/2019,"62,911",1,0
6/19/2019,"60,321",27.4,0
6/20/2019,"52,055",25.5,0
6/21/2019,"37,302",30.5,0
6/22/2019,"50,651",13.7,0
6/23/2019,"47,734",8.1,0
6/24/2019,"36,477",30.4,0
6/25/2019,"48,471",2.9,0
6/26/2019,"47,599",0,0
6/27/2019,"54,503",0,0
6/28/2019,"64,939",0,0
6/29/2019,"71,064",0,0
6/30/2019,"82,225",0,0
7/1/2019,"27,559",0,0
7/2/2019,"39,715",2.3,0
7/3/2019,"45,790",0,0
7/4/2019,"45,491",0,0
7/5/2019,"52,739",0,0
7/6/2019,"50,906",0,0
7/7/2019,"60,191",0,0
7/8/2019,"58,600",0,0
7/9/2019,"64,941",70,0
7/10/2019,"65,276",0,0
7/11/2019,"56,781",1.5,0
7/12/2019,"49,026",21.2,0
7/13/2019,"43,194",9.4,0
7/14/2019,"49,397",0,0
7/15/2019,"39,272",0,0
7/16/2019,"19,791",18.5,1
7/17/2019,"48,208",32.5,0
7/18/2019,"31,442",83,0
7/19/2019,"57,432",14,0
7/20/2019,"53,236",1.5,0
7/21/2019,"48,097",18.1,0
7/22/2019,"35,977",3,0
7/23/2019,"38,751",0,0
7/24/2019,"36,812",1.2,0
7/25/2019,"31,893",9.1,0
7/26/2019,"32,640",0.5,0
7/27/2019,"32,008",0,0
7/28/2019,"37,193",0,0
7/29/2019,"42,490",0,0
7/30/2019,"60,530",0,0
7/31/2019,"55,622",0,0
8/1/2019,"16,037",11.7,0
8/2/2019,"25,315",0,0
8/3/2019,"29,794",0,0
8/4/2019,"38,641",7.8,0
8/5/2019,"42,694",1.5,0
8/6/2019,"57,689",9.5,0
8/7/2019,"64,611",13.7,0
8/8/2019,"59,107",11,0
8/9/2019,"67,399",4.5,0
8/10/2019,"51,555",62.5,0
8/11/2019,"65,369",0.8,0
8/12/2019,"40,465",28,1
8/13/2019,"33,213",117,0
8/14/2019,"41,006",28.2,1
8/15/2019,"64,027",0,0
8/16/2019,"59,277",0,0
8/17/2019,"46,643",18.3,0
8/18/2019,"64,476",10.2,0
8/19/2019,"55,261",14.5,0
8/20/2019,"61,871",4,0
8/21/2019,"59,284",20.8,0
8/22/2019,"37,495",20.5,0
8/23/2019,"46,712",25.2,0
8/24/2019,"50,989",7.8,0
8/25/2019,"46,856",56.4,0
8/26/2019,"35,662",13.1,0
8/27/2019,"52,735",4.4,0
8/28/2019,"49,796",6.2,0
8/29/2019,"59,552",85,0
8/30/2019,"57,740",15,0
8/31/2019,"70,492",14.2,0
9/1/2019,"23,456",62,0
9/2/2019,"28,810",2.3,0
9/3/2019,"38,224",6.5,0
9/4/2019,"42,240",2.3,0
9/5/2019,"37,700",15.3,0
9/6/2019,"42,662",3.3,0
9/7/2019,"43,779",0,0
